NUMERO_NF;SERIE;EMPRESA;FORNECEDOR;DATA_EMISSAO;DATA_ENTRADA;CGO;VALOR_TOTAL;SITUACAO_;SITUACAO;SEQNOTAFISCAL;SEQAUXNOTAFISCAL;SITUACAO_CONFERENCIA;USUARIO_CONFERENCIA;CHAVE_ACESSO
1000;3;C001-CD BR;65-RIO GRANDE COMERCIO DE CARNES LTDA;2026-09-09-00.00.00.000000;2026-09-09-00.00.00.000000;11;159,6;RECEBIMENTO;R;;93083;;;21260907555950006596550030000010001538760060
2245;3;C001-CD BR;27-RIO GRANDE COMERCIO DE CARNES LTDA;2026-09-08-00.00.00.000000;2026-09-08-00.00.00.000000;11;523,84;RECEBIMENTO;R;;92219;;;21260907555950002760550030000022451465539425
2246;3;C001-CD BR;27-RIO GRANDE COMERCIO DE CARNES LTDA;2026-09-08-00.00.00.000000;2026-09-08-00.00.00.000000;11;1047,68;RECEBIMENTO;R;;92228;;;21260907555950002760550030000022461473800096
2249;3;C001-CD BR;27-RIO GRANDE COMERCIO DE CARNES LTDA;2026-09-08-00.00.00.000000;2026-09-08-00.00.00.000000;11;756,6;RECEBIMENTO;R;;92237;;;21260907555950002760550030000022491838102506
45030;3;R010-FRIGO STI;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-10-00.00.00.000000;2026-09-10-00.00.00.000000;51;;RECEBIMENTO;R;;94298;;;21260903835761000151550030000450301162335170
45043;3;R010-FRIGO STI;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-10-00.00.00.000000;2026-09-10-00.00.00.000000;51;;RECEBIMENTO;R;;94323;;;21260903835761000151550030000450431938129593
44589;3;R002-J.DE DEUS;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-09-00.00.00.000000;2026-09-09-00.00.00.000000;67;691,3;RECEBIMENTO;R;;93464;;;21260903835761000151550030000445891444932958
45051;3;R001-EMP.CALHAU;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-10-00.00.00.000000;2026-09-10-00.00.00.000000;51;7705,25;RECEBIMENTO;R;;94353;;;21260903835761000151550030000450511816861208
45052;3;R004-EMP.COHAMA;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-10-00.00.00.000000;2026-09-10-00.00.00.000000;51;1068,11;RECEBIMENTO;R;;94354;;;21260903835761000151550030000450521430262367
45227;3;R004-EMP.COHAMA;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-11-00.00.00.000000;2026-09-11-00.00.00.000000;51;635,8;RECEBIMENTO;R;;94550;;;21260903835761000151550030000452271648895401
45228;3;R029-EMP.PDA;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-11-00.00.00.000000;2026-09-11-00.00.00.000000;51;1705,94;RECEBIMENTO;R;;94551;;;21260903835761000151550030000452281290613885
45229;3;R072-MERC MAIOB;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-11-00.00.00.000000;2026-09-11-00.00.00.000000;51;170,9;RECEBIMENTO;R;;94552;;;21260903835761000151550030000452291778466254
2426;3;C001-CD BR;1-RIO GRANDE COMERCIO DE CARNES LTDA;2026-09-07-00.00.00.000000;2026-09-07-00.00.00.000000;11;138;RECEBIMENTO;R;;91856;;;21260907555950000121550030000024261204180634
45053;3;R027-EMP.PNS;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-10-00.00.00.000000;2026-09-10-00.00.00.000000;51;3414,89;RECEBIMENTO;R;;94355;;;21260903835761000151550030000450531596411220
45230;3;R027-EMP.PNS;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-11-00.00.00.000000;2026-09-11-00.00.00.000000;51;1251,5;RECEBIMENTO;R;;94553;;;21260903835761000151550030000452301340109032
44340;3;R029-EMP.PDA;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-09-00.00.00.000000;2026-09-09-00.00.00.000000;67;1460,64;RECEBIMENTO;R;;93029;;;21260903835761000151550030000443401675893689
44602;3;R007-ANGELIM;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-09-00.00.00.000000;2026-09-09-00.00.00.000000;67;691,3;RECEBIMENTO;R;;93478;;;21260903835761000151550030000446021618123166
44604;3;R009-PQ.VITOR 1;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-09-00.00.00.000000;2026-09-09-00.00.00.000000;67;691,3;RECEBIMENTO;R;;93482;;;21260903835761000151550030000446041779616860
44605;3;R011-PQ.VITOR 2;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-09-00.00.00.000000;2026-09-09-00.00.00.000000;67;691,3;RECEBIMENTO;R;;93483;;;21260903835761000151550030000446051633065645
44606;3;R012-4BOCAS;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-09-00.00.00.000000;2026-09-09-00.00.00.000000;67;691,3;RECEBIMENTO;R;;93484;;;21260903835761000151550030000446061979868506
45054;3;R028-EMP.TURU;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-10-00.00.00.000000;2026-09-10-00.00.00.000000;51;844,51;RECEBIMENTO;R;;94356;;;21260903835761000151550030000450541550732896
40;3;C001-CD BR;73-RIO GRANDE COMERCIO DE CARNES LTDA;2026-09-03-00.00.00.000000;2026-09-03-00.00.00.000000;11;,04;RECEBIMENTO;R;;89822;;;21260907555950007304550030000000401142840160
45055;3;R029-EMP.PDA;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-10-00.00.00.000000;2026-09-10-00.00.00.000000;51;4710,26;RECEBIMENTO;R;;94357;;;21260903835761000151550030000450551363207977
44608;3;R014-CANT.CEU;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-09-00.00.00.000000;2026-09-09-00.00.00.000000;67;691,3;RECEBIMENTO;R;;93486;;;21260903835761000151550030000446081670579306
44609;3;R015-S.FRANC 2;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-09-00.00.00.000000;2026-09-09-00.00.00.000000;67;691,3;RECEBIMENTO;R;;93487;;;21260903835761000151550030000446091253923967
44610;3;R016-M.CENTRAL;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-09-00.00.00.000000;2026-09-09-00.00.00.000000;67;691,3;RECEBIMENTO;R;;93488;;;21260903835761000151550030000446101254849990
45056;3;R064-EMP.THE;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-10-00.00.00.000000;2026-09-10-00.00.00.000000;51;15587,28;RECEBIMENTO;R;;94359;;;21260903835761000151550030000450561339737667
2373;3;R029-EMP.PDA;4-RIO GRANDE COMERCIO DE CARNES LTDA;2026-09-08-00.00.00.000000;2026-09-08-00.00.00.000000;50;1558,81;RECEBIMENTO;R;;92101;;;21260907555950000474550030000023731221584384
43918;3;R001-EMP.CALHAU;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-08-00.00.00.000000;2026-09-08-00.00.00.000000;51;1210,5;RECEBIMENTO;R;;92159;;;21260903835761000151550030000439181761696184
983;3;R050-ATELIE CLH;65-RIO GRANDE COMERCIO DE CARNES LTDA;2026-09-08-00.00.00.000000;2026-09-08-00.00.00.000000;11;908;RECEBIMENTO;R;;92195;;;21260907555950006596550030000009831813323239
41475;3;R029-EMP.PDA;331-COMCARNE COMERCIAL DE CARNE LTDA;2026-09-01-00.00.00.000000;2026-09-01-00.00.00.000000;67;617,37;RECEBIMENTO;R;;88309;;;21260903835761000151550030000414751995725490
